x   sigma   coverage    SE
58800   0.8388911086361046      0.3264507245370726      0.9001712990867307
59000   0.841259848691012       0.32534181802595735     0.9019786203541964
59200   0.8384562135195492      0.32424382581116445     0.8989676749284152
59400   0.8373537574488831      0.3231506164105209      0.8975453392449111
59600   0.8346882941799505      0.3220667293176165      0.8946683891668368
59800   0.8319131321861973      0.32099104243037446     0.8916920482007159
60000   0.8367161866850711      0.3199174788840381      0.8957908072515177
60200   0.8341664199869041      0.3188553187434264      0.8930298598169829
60400   0.8323489239700583      0.3177995171693298      0.890955253841164
60600   0.8303022224598858      0.3167497506658306      0.8886687713477343
60800   0.8276004404548553      0.31570911812200825     0.8857735242749394
61000   0.8248979272198378      0.3146753311552325      0.8828800339622819
61200   0.8222509514129702      0.31364789707482427     0.880040698171962
61400   0.8198380095365347      0.31262651077782916     0.8774221886423589
61600   0.8178563346414972      0.3116106955835169      0.8752086663849187
61800   0.815373692908094       0.31060302667282697     0.8725299417583924
62000   0.8130313918274769      0.30960109213732634     0.8699844138543801
62200   0.810457589989575       0.30860658832738913     0.8672251907842511
62400   0.8081578798390601      0.30761757237637194     0.8647240771371507
62600   0.8060873155680268      0.3066349895072787      0.8624394338791546
62800   0.8044486855228763      0.3056577078701486      0.8605604697055964
63000   0.8024179737394714      0.3046869631268041      0.8583173947203876
63200   0.7999106245288583      0.3037236521975398      0.8556313833295038
63400   0.7974187465477738      0.30276673935162285     0.8529621068977427
63600   0.795492360065095       0.3018148539612137      0.8508233077399582
63800   0.7930597580261537      0.30086974304172137     0.8482136417663259
64000   0.7905985635378266      0.2999307480314522      0.8455794121682371
64200   0.788153470512597       0.2989974962012813      0.8429622742541248
64400   0.7861040487447338      0.2980687282825796      0.8407166836888971
64600   0.7837551567762454      0.2971467384975168      0.8381934919653509
64800   0.7978011084413319      0.29622488061870217     0.8510204395475952
65000   0.7978057545584778      0.29531177800358405     0.8507073928409581
65200   0.7955825216148426      0.2944064514233505      0.8483081440954819
65400   0.7935281944487979      0.29350655610419835     0.8460692015794666
65600   0.7911535035984385      0.29261258193077166     0.843531854383862
65800   0.8043212101553529      0.2917187187363522      0.8555889316528997
66000   0.8021384522129679      0.29083496273977594     0.8532356486167597
66200   0.8000194115256248      0.2899565628099038      0.8509441034135795
66400   0.7977895155682706      0.28908350071153366     0.8485501644182807
66600   0.7955720775579478      0.2882161461884666      0.8461698869101882
66800   0.7936224113838501      0.2873532173461028      0.8440428919017526
67000   0.7995893718882389      0.2864921763347965      0.8493650161960266
67200   0.8024329886175258      0.28563759511962883     0.8517555617472534
67400   0.8000904824798128      0.2847909623880622      0.8492647834525451
67600   0.7977291019509959      0.28394959818264237     0.8467579904598636
67800   0.7955272950325116      0.2831125934597264      0.8444029948533088
