time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
5.048329,0.273935,0.644403,-1.487857,0.0183935841977498,-0.0424688013614329
5.048329,0.273935,0.644403,-1.487857,0.0183935841977498,-0.0424688013614329
5.04837,0.273921,0.644536,-1.487798,0.0183955290066295,-0.0424628434486288
5.048411,0.273907,0.644669,-1.487738,0.0183974936677851,-0.0424569049144961
5.048494,0.273879,0.644935,-1.48762,0.0184013784376738,-0.0424449883964311
5.048658,0.273823,0.645467,-1.487384,0.018409136334467,-0.0424211537347454
5.048986,0.273711,0.64653,-1.486913,0.0184245652703404,-0.0423734793742249
5.049642,0.27349,0.648655,-1.485976,0.0184555181850693,-0.0422789573665146
5.050955,0.273053,0.652903,-1.484116,0.0185170317965224,-0.0420911271072848
5.053549,0.272213,0.661285,-1.480504,0.0186373616505169,-0.041725864752772
5.053549,0.272213,0.661285,-1.480504,0.0186373616505169,-0.041725864752772
5.053594,0.272199,0.66143,-1.480443,0.0186394516133299,-0.041719676556541
5.053639,0.272185,0.661574,-1.480381,0.0186415426615467,-0.0417135279905848
5.053728,0.272156,0.661864,-1.480258,0.0186456010218719,-0.0417008631341697
5.053907,0.2721,0.662442,-1.480012,0.0186539408633581,-0.0416761864813227
5.054266,0.271987,0.663598,-1.479521,0.0186704092740689,-0.0416265006820089
5.054982,0.271763,0.665911,-1.478545,0.0187033007100474,-0.0415275791334532
5.056416,0.271321,0.670533,-1.476611,0.0187686106911782,-0.0413312051775398
5.059282,0.270462,0.679773,-1.472817,0.018897708718086,-0.0409443544551567
5.065015,0.268839,0.698254,-1.465525,0.0191498007050768,-0.0401924108967621
5.068589,0.267884,0.709786,-1.461176,0.0193023117100569,-0.0397360255277705
5.068589,0.267884,0.709786,-1.461176,0.0193023117100569,-0.0397360255277705
5.070748,0.267328,0.716758,-1.458621,0.0193928161140611,-0.0394648805218887
5.076481,0.265915,0.735321,-1.452089,0.0196262872739632,-0.0387573806016175
5.082214,0.264588,0.753979,-1.445913,0.019849835283442,-0.0380662258288194
5.087946,0.263335,0.772767,-1.440071,0.020063014554246,-0.0373879389675641
5.090997,0.262694,0.78283,-1.437091,0.0201719806522027,-0.0370309924855393
5.090997,0.262694,0.78283,-1.437091,0.0201719806522027,-0.0370309924855393
5.093679,0.262145,0.791717,-1.434544,0.0202652581533229,-0.0367194395122252
5.098768,0.261134,0.808697,-1.429881,0.0204353519977144,-0.0361323481475062
5.098768,0.261134,0.808699,-1.42988,0.0204353996966635,-0.036132317856539
5.098845,0.261119,0.808952,-1.42981,0.0204378609624541,-0.0361235994011098
5.098921,0.261104,0.80921,-1.429742,0.0204403411718116,-0.0361147468119132
5.099075,0.261074,0.809725,-1.429605,0.0204453017102754,-0.0360970768489528
5.099382,0.261015,0.810754,-1.429332,0.0204553108376841,-0.0360620241778007
5.099996,0.260896,0.812815,-1.428788,0.0204750321009376,-0.0359915603986571
5.099999,0.260895,0.812825,-1.428785,0.0204750688199478,-0.0359911065775648
5.099999,0.351113,1.250258,-3.527156,0.011006320357457,-0.0310503983071706
5.100003,0.351113,1.250282,-3.527168,0.0110064179359231,-0.0310501831892437
5.100007,0.351113,1.250306,-3.527179,0.0110065210555494,-0.0310499749102952
5.100015,0.351113,1.250354,-3.527201,0.0110067272854355,-0.031049558355406
5.100032,0.351112,1.25045,-3.527245,0.0110070770092731,-0.0310485483990351
5.100064,0.35111,1.250642,-3.527332,0.0110077818379717,-0.0310465354002956
5.100097,0.351109,1.250834,-3.527418,0.0110085547006797,-0.0310447061761691
5.100162,0.351105,1.251217,-3.527586,0.0110099897136058,-0.0310407272070791
5.100221,0.351102,1.25156,-3.527734,0.0110113242513362,-0.0310372838269546
5.100279,0.351099,1.251902,-3.527878,0.0110126734566245,-0.0310338735850006
5.100338,0.351096,1.252244,-3.528019,0.0110140386192497,-0.0310304840873239
5.100397,0.351092,1.252584,-3.528156,0.0110153488863441,-0.0310269564879069
5.100514,0.351085,1.253263,-3.528421,0.0110180732220651,-0.0310201457605243
5.100748,0.351068,1.254603,-3.52889,0.0110235411006947,-0.0310065127811989
5.100983,0.351049,1.25593,-3.529312,0.0110290449490077,-0.0309929221270868
5.101452,0.351007,1.258543,-3.529996,0.0110403790671915,-0.0309663586748086
5.102391,0.350906,1.263634,-3.530855,0.0110637678084315,-0.0309144577347867
5.103329,0.35079,1.268619,-3.531307,0.0110876030584793,-0.030863269660654
5.105206,0.350523,1.278331,-3.53115,0.011136794895254,-0.0307633103588789
5.107083,0.35023,1.287879,-3.530279,0.0111866706969995,-0.0306644247181084
5.10896,0.349921,1.29733,-3.528935,0.0112369951705123,-0.0305663366699696
5.112714,0.349275,1.316105,-3.525551,0.0113373596397596,-0.0303702513213719
5.116468,0.348597,1.334795,-3.521397,0.01143739179098,-0.0301736200244843
5.123976,0.347188,1.372429,-3.512124,0.0116349141739589,-0.0297744082268017
5.130691,0.345875,1.406448,-3.503089,0.0118074314729461,-0.0294091806530573
5.135494,0.344908,1.431033,-3.496357,0.0119277947653567,-0.0291424647247256
5.135494,0.344908,1.431037,-3.496354,0.0119278360701107,-0.0291424591782574
5.135583,0.34489,1.431487,-3.496226,0.0119300129569237,-0.0291375482140834
5.135671,0.344872,1.431941,-3.4961,0.0119322007040574,-0.0291326017492724
5.135847,0.344836,1.432848,-3.495847,0.0119365724375169,-0.0291227198879267
5.1362,0.344764,1.434662,-3.49534,0.0119453070947375,-0.0291029592339657
5.136906,0.344619,1.438296,-3.494324,0.0119626955093371,-0.0290632345657422
5.138318,0.344328,1.445576,-3.49228,0.0119973075665153,-0.0289835728238363
5.141142,0.34374,1.460191,-3.48814,0.0120657879998197,-0.0288230496926027
5.146789,0.342535,1.489624,-3.479627,0.0121993829403623,-0.0284966557081681
5.152437,0.341291,1.519299,-3.470778,0.0123282875402957,-0.028163481429615
5.158084,0.340004,1.549181,-3.461566,0.0124519917158069,-0.0278233409496495
5.163732,0.338671,1.579235,-3.451971,0.0125700260818465,-0.0274761929059181
5.175027,0.335858,1.639694,-3.431538,0.0127874604722417,-0.0267614911892068
5.17763,0.335179,1.653646,-3.426569,0.0128336433516741,-0.0265929736267028
5.17763,0.33518,1.653664,-3.426577,0.0128337582411583,-0.0265929843140525
5.177729,0.335154,1.654194,-3.426386,0.0128354859664712,-0.0265865608379147
5.177828,0.335128,1.654726,-3.426195,0.0128372215479003,-0.026580125217896
5.178026,0.335076,1.655789,-3.425813,0.0128406824894195,-0.0265672600803157
5.178422,0.334971,1.657915,-3.425047,0.0128475182412047,-0.0265413810777292
5.179215,0.334762,1.662167,-3.423508,0.0128612224733981,-0.0264898160217705
5.180799,0.334339,1.67067,-3.420403,0.0128880593502893,-0.0263860348638018
5.183969,0.33348,1.687671,-3.414076,0.0129400257533038,-0.0261770400532665
5.190307,0.331707,1.721614,-3.400944,0.0130367170677618,-0.0257532435791658
5.196348,0.329944,1.753819,-3.3878,0.01311929884463,-0.025342159382375
5.196348,0.329944,1.753819,-3.3878,0.01311929884463,-0.025342159382375
5.196348,0.329944,1.753819,-3.3878,0.01311929884463,-0.025342159382375
5.196646,0.329856,1.755404,-3.387136,0.0131231927061409,-0.025321828165999
5.199999,0.328843,1.773164,-3.379534,0.0131645150880263,-0.0250907002022926
5.199999,0.769424,10.616077,-0.147474,0.0557549714072941,-0.000774524210150255
5.2,0.769424,10.616114,-0.147473,0.0557547773071578,-0.000774513562478557
5.2,0.769425,10.61615,-0.147472,0.0557547333838278,-0.000774505074022113
5.200002,0.769426,10.61622,-0.147472,0.0557545108214386,-0.000774496875522474
5.200005,0.769428,10.616362,-0.14747,0.0557540554984025,-0.000774469687860061
5.200011,0.769433,10.616645,-0.147468,0.0557532947691667,-0.000774427973528311
5.200023,0.769443,10.61721,-0.147462,0.0557517789870316,-0.00077433420201594
5.200046,0.769462,10.618339,-0.147449,0.0557486084533598,-0.000774139586976781
5.20007,0.769481,10.619465,-0.147434,0.055745454694004,-0.000773934973876348
5.200094,0.7695,10.620589,-0.147417,0.055742312454242,-0.000773720221643733
5.20011,0.769513,10.621331,-0.147404,0.0557403050374949,-0.000773570084930683
5.20011,0.769513,10.621331,-0.147404,0.0557403050374949,-0.000773570084930683
5.20011,0.769513,10.621331,-0.147404,0.0557403050374949,-0.000773570084930683
5.200118,0.769519,10.621711,-0.147397,0.0557391818740217,-0.000773490089373094
5.200142,0.769538,10.622829,-0.147376,0.0557360731459882,-0.000773255365022176
5.200165,0.769557,10.623945,-0.147352,0.0557329760626809,-0.000773005271468194
5.200189,0.769576,10.625059,-0.147327,0.0557298903274081,-0.00077275030211748
5.200237,0.769613,10.627279,-0.147269,0.0557236192790356,-0.000772197821060715
5.200284,0.769651,10.62949,-0.147203,0.0557175442025094,-0.000771607072328211
5.200332,0.769688,10.63169,-0.14713,0.0557113857829049,-0.000770979608156257
5.200379,0.769725,10.633882,-0.147048,0.0557052733504417,-0.000770306557439301
5.200427,0.769762,10.636063,-0.146959,0.055699222274679,-0.000769598864379099
5.200474,0.769799,10.638236,-0.146862,0.0556932169413667,-0.000768850890922424
5.200569,0.769873,10.642554,-0.146645,0.0556813640985247,-0.000767240047664137
5.200664,0.769945,10.64682,-0.146387,0.0556695102798258,-0.000765420341598041
5.200854,0.770088,10.655214,-0.14576,0.0556464254479281,-0.000761225722288636
5.201234,0.770366,10.671512,-0.144123,0.0556018255366319,-0.000750924695752205
5.201995,0.770894,10.702479,-0.139612,0.055517646863815,-0.000724218166085721
5.202755,0.771396,10.73211,-0.13409,0.0554372729619973,-0.000692648876267036
5.20291,0.771494,10.737912,-0.132802,0.0554215722250866,-0.000685430802062445
5.20291,0.771494,10.737901,-0.132807,0.0554216283438219,-0.00068545800482403
5.202926,0.771504,10.738526,-0.132686,0.0554198557972232,-0.000684771726241605
5.202942,0.771515,10.739151,-0.132563,0.0554182273740478,-0.000684077025771022
5.202974,0.771536,10.740399,-0.132317,0.0554148377793243,-0.000682686471000458
5.203039,0.771578,10.742888,-0.131821,0.0554080975886797,-0.000679887087367693
5.203168,0.771662,10.74784,-0.130808,0.0553947633102521,-0.000674189250964608
5.203427,0.771827,10.757642,-0.128707,0.055368235661474,-0.000662438804645231
5.203943,0.772149,10.776871,-0.124239,0.0553161349771975,-0.000637700988852149
5.204977,0.772766,10.814057,-0.114445,0.055215208849816,-0.000584341711608991
