time	V1
4.05	0.98
4.055	0.98
4.06	0.98
4.065	0.98
4.07	0.98
4.075	0.98
4.08	0.98
4.085	0.98
4.09	0.98
4.095	0.98
4.1	0.98
4.105	0.98
4.11	0.98
4.115	0.98
4.12	0.98
4.125	0.98
4.13	0.98
4.135	0.98
4.14	0.98
4.145	0.98
4.15	0.98
4.155	0.98
4.16	0.98
4.165	0.98
4.17	0.98
4.175	0.98
4.18	0.98
4.185	0.98
4.19	0.98
4.195	0.98
4.2	0.98
4.205	0.98
4.21	0.98
4.215	0.98
4.22	0.98
4.225	0.98
4.23	0.98
4.235	0.9799
4.24	0.9799
4.245	0.9799
4.25	0.9799
4.255	0.9799
4.26	0.9799
4.265	0.9799
4.27	0.9799
4.275	0.9799
4.28	0.9799
4.285	0.9799
4.29	0.9799
4.295	0.9799
4.3	0.9799
4.305	0.9799
4.31	0.9799
4.315	0.9799
4.32	0.9799
4.325	0.9799
4.33	0.9799
4.335	0.9799
4.34	0.9799
4.345	0.9799
4.35	0.9799
4.355	0.9799
4.36	0.9799
4.365	0.9799
4.37	0.9799
4.375	0.9799
4.38	0.9799
4.385	0.9799
4.39	0.9799
4.395	0.9799
4.4	0.9799
4.405	0.9799
4.41	0.9799
4.415	0.9799
4.42	0.9799
4.425	0.9799
4.43	0.9799
4.435	0.9799
4.44	0.9799
4.445	0.9799
4.45	0.9799
4.455	0.9799
4.46	0.9799
4.465	0.9799
4.47	0.9799
4.475	0.9799
4.48	0.9799
4.485	0.9799
4.49	0.9799
4.495	0.9799
4.5	0.9799
4.505	0.9799
4.51	0.9799
4.515	0.9799
4.52	0.9799
4.525	0.9799
4.53	0.9799
4.535	0.9799
4.54	0.9799
4.545	0.9799
4.55	0.9799
4.555	0.9799
4.56	0.9799
4.565	0.9799
4.57	0.9799
4.575	0.9799
4.58	0.9799
4.585	0.9799
4.59	0.9799
4.595	0.9799
4.6	0.9799
4.605	0.9799
4.61	0.9799
4.615	0.9799
4.62	0.9799
4.625	0.9799
4.63	0.9799
4.635	0.9799
4.64	0.9799
4.645	0.9799
4.65	0.9799
4.655	0.9799
4.66	0.9799
4.665	0.9799
4.67	0.9799
4.675	0.9799
4.68	0.9799
4.685	0.9799
4.69	0.9799
4.695	0.9799
4.7	0.9799
4.705	0.9799
4.71	0.9799
4.715	0.9799
4.72	0.9799
4.725	0.9799
4.73	0.9799
4.735	0.9799
4.74	0.9799
4.745	0.9799
4.75	0.9799
4.755	0.9799
4.76	0.9799
4.765	0.9799
4.77	0.9799
4.775	0.9799
4.78	0.9799
4.785	0.9799
4.79	0.9799
4.795	0.9799
4.8	0.9799
4.805	0.9799
4.81	0.9799
4.815	0.9799
4.82	0.9799
4.825	0.9799
4.83	0.9799
4.835	0.9799
4.84	0.9799
4.845	0.9799
4.85	0.9799
4.855	0.9799
4.86	0.9799
4.865	0.9799
4.87	0.9799
4.875	0.9799
4.88	0.9799
4.885	0.9799
4.89	0.9799
4.895	0.9799
4.9	0.9799
4.905	0.9799
4.91	0.9799
4.915	0.9799
4.92	0.9799
4.925	0.9799
4.93	0.9799
4.935	0.9799
4.94	0.9799
4.945	0.9799
4.95	0.9799
4.955	0.9799
4.96	0.9799
4.965	0.9799
4.97	0.9799
4.975	0.9799
4.98	0.9799
4.985	0.9799
4.99	0.9799
4.995	0.9799
5	0.9799
5	0.9799
