time_95	V1_95	time_5	V1_5
1.62	1.002772	1.34	1.002786
1.62	1.002772	1.345	1.002786
1.625	1.002772	1.345	1.002786
1.625	1.002772	1.35	1.002786
1.63	1.002772	1.35	1.002786
1.63	1.002772	1.355	1.002786
1.635	1.002772	1.355	1.002786
1.635	1.002772	1.36	1.002786
1.64	1.002772	1.36	1.002786
1.64	1.002772	1.365	1.002786
1.645	1.002772	1.365	1.002786
1.645	1.002772	1.37	1.002786
1.65	1.002772	1.37	1.002786
1.65	1.002772	1.375	1.002786
1.655	1.002772	1.375	1.002786
1.655	1.002772	1.38	1.002786
1.66	1.002772	1.38	1.002786
1.66	1.002772	1.385	1.002786
1.665	1.002772	1.385	1.002786
1.665	1.002772	1.39	1.002786
1.67	1.002773	1.39	1.002786
1.67	1.002773	1.395	1.002786
1.675	1.002773	1.395	1.002786
1.675	1.002773	1.4	1.002786
1.68	1.002773	1.4	1.002786
1.68	1.002773	1.405	1.002786
1.685	1.002773	1.405	1.002786
1.685	1.002773	1.41	1.002786
1.69	1.002773	1.41	1.002786
1.69	1.002773	1.415	1.002786
1.695	1.002773	1.415	1.002786
1.695	1.002773	1.42	1.002786
1.7	1.002773	1.42	1.002786
1.7	1.002773	1.425	1.002786
1.705	1.002773	1.425	1.002786
1.705	1.002773	1.43	1.002786
1.71	1.002773	1.43	1.002786
1.71	1.002773	1.435	1.002786
1.715	1.002773	1.435	1.002786
1.715	1.002773	1.44	1.002786
1.72	1.002773	1.44	1.002786
1.72	1.002773	1.445	1.002786
1.725	1.002773	1.445	1.002786
1.725	1.002773	1.45	1.002786
1.73	1.002773	1.45	1.002786
1.73	1.002773	1.455	1.002786
1.735	1.002773	1.455	1.002786
1.735	1.002773	1.46	1.002786
1.74	1.002773	1.46	1.002786
1.74	1.002773	1.465	1.002786
1.745	1.002773	1.465	1.002786
1.745	1.002773	1.47	1.002786
1.75	1.002773	1.47	1.002786
1.75	1.002773	1.475	1.002786
1.755	1.002773	1.475	1.002786
1.755	1.002773	1.48	1.002786
1.76	1.002773	1.48	1.002786
1.76	1.002773	1.485	1.002786
1.765	1.002773	1.485	1.002786
1.765	1.002773	1.49	1.002786
1.77	1.002773	1.49	1.002786
1.77	1.002773	1.495	1.002786
1.775	1.002773	1.495	1.002786
1.775	1.002773	1.5	1.002786
1.78	1.002773	1.5	1.002786
1.78	1.002773	1.505	1.002786
1.785	1.002773	1.505	1.002786
1.785	1.002773	1.51	1.002786
1.79	1.002773	1.51	1.002786
1.79	1.002773	1.515	1.002786
1.795	1.002773	1.515	1.002786
1.795	1.002773	1.52	1.002786
1.8	1.002773	1.52	1.002786
1.8	1.002773	1.525	1.002786
1.805	1.002773	1.525	1.002786
1.805	1.002773	1.53	1.002786
1.81	1.002773	1.53	1.002786
1.81	1.002773	1.535	1.002786
1.815	1.002773	1.535	1.002786
1.815	1.002773	1.54	1.002786
1.82	1.002773	1.54	1.002786
1.82	1.002773	1.545	1.002786
1.825	1.002773	1.545	1.002786
1.825	1.002773	1.55	1.002786
1.83	1.002773	1.55	1.002786
1.83	1.002773	1.555	1.002786
1.835	1.002773	1.555	1.002786
1.835	1.002773	1.56	1.002786
1.84	1.002773	1.56	1.002786
1.84	1.002773	1.565	1.002786
1.845	1.002773	1.565	1.002786
1.845	1.002773	1.57	1.002786
1.85	1.002773	1.57	1.002786
1.85	1.002773	1.575	1.002786
1.855	1.002773	1.575	1.002786
1.855	1.002773	1.58	1.002786
1.86	1.002773	1.58	1.002786
1.86	1.002773	1.585	1.002786
1.865	1.002773	1.585	1.002786
1.865	1.002773	1.59	1.002786
1.87	1.002773	1.59	1.002786
1.87	1.002773	1.595	1.002786
1.875	1.002773	1.595	1.002786
1.875	1.002773	1.6	1.002786
1.88	1.002773	1.6	1.002786
1.88	1.002773	1.605	1.002786
1.885	1.002773	1.605	1.002786
1.885	1.002773	1.61	1.002786
1.89	1.002773	1.61	1.002786
1.89	1.002773	1.615	1.002786
1.895	1.002773	1.615	1.002786
1.895	1.002773	1.62	1.002786
1.9	1.002773	1.62	1.002786
1.9	1.002773	1.625	1.002786
1.905	1.002773	1.625	1.002786
1.905	1.002773	1.63	1.002786
1.91	1.002773	1.63	1.002786
1.91	1.002773	1.635	1.002786
1.915	1.002772	1.635	1.002786
1.915	1.002772	1.64	1.002786
1.92	1.002772	1.64	1.002786
1.92	1.002772	1.645	1.002786
1.925	1.002772	1.645	1.002786
1.925	1.002772	1.65	1.002786
1.93	1.002772	1.65	1.002786
1.93	1.002772	1.655	1.002786
1.935	1.002772	1.655	1.002786
1.935	1.002772	1.66	1.002786
1.94	1.002772	1.66	1.002786
1.94	1.002772	1.665	1.002785
1.945	1.002772	1.665	1.002785
1.945	1.002772	1.67	1.002785
1.95	1.002772	1.67	1.002785
1.95	1.002772	1.675	1.002785
1.955	1.002772	1.675	1.002785
1.955	1.002772	1.68	1.002785
1.96	1.002772	1.68	1.002785
1.96	1.002772	1.685	1.002785
1.965	1.002772	1.685	1.002785
1.965	1.002772	1.69	1.002785
1.97	1.002772	1.69	1.002785
1.97	1.002772	1.695	1.002785
1.975	1.002771	1.695	1.002785
1.975	1.002771	1.7	1.002785
1.98	1.002771	1.7	1.002785
1.98	1.002771	1.705	1.002785
1.985	1.002771	1.705	1.002785
1.985	1.002771	1.71	1.002785
1.99	1.002771	1.71	1.002785
1.99	1.002771	1.715	1.002785
1.995	1.002771	1.715	1.002785
1.995	1.002771	1.72	1.002785
2	1.002771	1.72	1.002785
2	1.002771	1.725	1.002785
2.005	1.002771	1.725	1.002785
2.005	1.002771	1.73	1.002785
2.01	1.002771	1.73	1.002785
2.01	1.002771	1.735	1.002785
2.015	1.002771	1.735	1.002785
2.015	1.002771	1.74	1.002785
2.02	1.00277	1.74	1.002785
2.02	1.00277	1.745	1.002785
2.025	1.00277	1.745	1.002785
2.025	1.00277	1.75	1.002785
2.03	1.00277	1.75	1.002785
2.03	1.00277	1.755	1.002785
2.035	1.00277	1.755	1.002785
2.035	1.00277	1.76	1.002785
2.04	1.00277	1.76	1.002785
2.04	1.00277	1.765	1.002785
2.045	1.00277	1.765	1.002785
2.045	1.00277	1.77	1.002785
2.05	1.00277	1.77	1.002785
2.05	1.00277	1.775	1.002785
2.055	1.00277	1.775	1.002785
2.055	1.00277	1.78	1.002785
2.06	1.002769	1.78	1.002785
2.06	1.002769	1.785	1.002785
2.065	1.002769	1.785	1.002785
2.065	1.002769	1.79	1.002785
2.07	1.002769	1.79	1.002785
2.07	1.002769	1.795	1.002785
2.075	1.002769	1.795	1.002785
2.075	1.002769	1.8	1.002785
2.08	1.002769	1.8	1.002785
2.08	1.002769	1.805	1.002784
2.085	1.002769	1.805	1.002784
2.085	1.002769	1.81	1.002784
2.09	1.002769	1.81	1.002784
2.09	1.002769	1.815	1.002784
2.095	1.002768	1.815	1.002784
2.095	1.002768	1.82	1.002784
2.1	1.002768	1.82	1.002784
2.1	1.002768	1.825	1.002784
2.105	1.002768	1.825	1.002784
2.105	1.002768	1.83	1.002784
2.11	1.002768	1.83	1.002784
2.11	1.002768	1.835	1.002784
2.115	1.002768	1.835	1.002784
2.115	1.002768	1.84	1.002784
2.12	1.002768	1.84	1.002784
2.12	1.002768	1.845	1.002784
2.125	1.002768	1.845	1.002784
2.125	1.002768	1.85	1.002784
2.13	1.002767	1.85	1.002784
2.13	1.002767	1.855	1.002784
2.135	1.002767	1.855	1.002784
2.135	1.002767	1.86	1.002784
2.14	1.002767	1.86	1.002784
2.14	1.002767	1.865	1.002784
2.145	1.002767	1.865	1.002784
2.145	1.002767	1.87	1.002784
2.15	1.002767	1.87	1.002784
2.15	1.002767	1.875	1.002784
2.155	1.002767	1.875	1.002784
2.155	1.002767	1.88	1.002784
2.16	1.002766	1.88	1.002784
2.16	1.002766	1.885	1.002784
2.165	1.002766	1.885	1.002784
2.165	1.002766	1.89	1.002784
2.17	1.002766	1.89	1.002784
2.17	1.002766	1.895	1.002783
2.175	1.002766	1.895	1.002783
2.175	1.002766	1.9	1.002783
2.18	1.002766	1.9	1.002783
2.18	1.002766	1.905	1.002783
2.185	1.002766	1.905	1.002783
2.185	1.002766	1.91	1.002783
2.19	1.002765	1.91	1.002783
2.19	1.002765	1.915	1.002783
2.195	1.002765	1.915	1.002783
2.195	1.002765	1.92	1.002783
2.2	1.002765	1.92	1.002783
2.2	1.002765	1.925	1.002783
2.205	1.002765	1.925	1.002783
2.205	1.002765	1.93	1.002783
2.21	1.002765	1.93	1.002783
2.21	1.002765	1.935	1.002783
2.215	1.002765	1.935	1.002783
2.215	1.002765	1.94	1.002783
2.22	1.002764	1.94	1.002783
2.22	1.002764	1.945	1.002783
2.225	1.002764	1.945	1.002783
2.225	1.002764	1.95	1.002783
2.23	1.002764	1.95	1.002783
2.23	1.002764	1.955	1.002783
2.235	1.002764	1.955	1.002783
2.235	1.002764	1.96	1.002783
2.24	1.002764	1.96	1.002783
2.24	1.002764	1.965	1.002783
2.245	1.002764	1.965	1.002783
2.245	1.002764	1.97	1.002782
2.25	1.002763	1.97	1.002782
2.25	1.002763	1.975	1.002782
2.255	1.002763	1.975	1.002782
2.255	1.002763	1.98	1.002782
2.26	1.002763	1.98	1.002782
2.26	1.002763	1.985	1.002782
2.265	1.002763	1.985	1.002782
2.265	1.002763	1.99	1.002782
2.27	1.002763	1.99	1.002782
2.27	1.002763	1.995	1.002782
2.275	1.002762	1.995	1.002782
2.275	1.002762	2	1.002782
2.28	1.002762	2	1.002782
2.28	1.002762	2.005	1.002782
2.285	1.002762	2.005	1.002782
2.285	1.002762	2.01	1.002782
2.29	1.002762	2.01	1.002782
2.295	1.002762	2.015	1.002782
